Country,Code,Year,Death_earthquake,Death_total,Death_rate,log_Death_rate
Panama,PAN,2005,0,13952.35641,1.14E-07,-7
Panama,PAN,2006,0,14504.87824,1.14E-07,-7
Panama,PAN,2007,0,14756.90832,1.14E-07,-7
Panama,PAN,2008,0,15365.83184,1.14E-07,-7
Panama,PAN,2009,0,15896.19511,1.14E-07,-7
Panama,PAN,2010,0,16342.01702,1.14E-07,-7
Panama,PAN,2011,0,16641.98303,1.14E-07,-7
Panama,PAN,2012,0,17224.75141,1.14E-07,-7
Panama,PAN,2013,0,17715.94719,1.14E-07,-7
Panama,PAN,2014,0,18007.60997,1.14E-07,-7
Panama,PAN,2015,0,18191.6621,1.14E-07,-7
Panama,PAN,2016,0,18576.1802,1.14E-07,-7
Panama,PAN,2017,0,18978.51038,1.14E-07,-7
Papua New Guinea,PNG,1990,0,45471.95359,1.14E-07,-7
Papua New Guinea,PNG,1991,0,46711.70554,1.14E-07,-7
Papua New Guinea,PNG,1992,0,47269.02323,1.14E-07,-7
Papua New Guinea,PNG,1994,0,48480.118,1.14E-07,-7
Papua New Guinea,PNG,1995,0,49256.00636,1.14E-07,-7
Papua New Guinea,PNG,1996,0,50092.81333,1.14E-07,-7
Papua New Guinea,PNG,1997,0,51204.16,1.14E-07,-7
Papua New Guinea,PNG,1999,0,54277.7121,1.14E-07,-7
Papua New Guinea,PNG,2001,0,58168.18624,1.14E-07,-7
Papua New Guinea,PNG,2003,0,62962.02183,1.14E-07,-7
Papua New Guinea,PNG,2004,0,65251.63714,1.14E-07,-7
Papua New Guinea,PNG,2005,0,67437.45614,1.14E-07,-7
Papua New Guinea,PNG,2006,0,69632.98889,1.14E-07,-7
Papua New Guinea,PNG,2007,0,71652.82655,1.14E-07,-7
Papua New Guinea,PNG,2008,0,73235.06019,1.14E-07,-7
Papua New Guinea,PNG,2009,0,74944.89543,1.14E-07,-7
Papua New Guinea,PNG,2010,0,76358.30811,1.14E-07,-7
Papua New Guinea,PNG,2011,0,77592.5939,1.14E-07,-7
Papua New Guinea,PNG,2012,0,79194.96275,1.14E-07,-7
Papua New Guinea,PNG,2013,0,79991.12257,1.14E-07,-7
Papua New Guinea,PNG,2015,0,82049.74083,1.14E-07,-7
Papua New Guinea,PNG,2016,0,83360.27189,1.14E-07,-7
Peru,PER,1992,0,140579.2542,1.14E-07,-7
Peru,PER,1993,0,139751.8664,1.14E-07,-7
Peru,PER,1994,0,136393.8538,1.14E-07,-7
Peru,PER,1995,0,136633.2618,1.14E-07,-7
Peru,PER,1997,0,130484.7327,1.14E-07,-7
Peru,PER,1998,0,129083.5704,1.14E-07,-7
Peru,PER,2000,0,120893.4763,1.14E-07,-7
Peru,PER,2002,0,117594.12,1.14E-07,-7
Peru,PER,2003,0,121494.1486,1.14E-07,-7
Peru,PER,2004,0,122024.7718,1.14E-07,-7
Peru,PER,2006,0,120005.5693,1.14E-07,-7
Peru,PER,2009,0,133670.0679,1.14E-07,-7
Peru,PER,2010,0,137167.8288,1.14E-07,-7
Peru,PER,2012,0,137816.0642,1.14E-07,-7
Peru,PER,2013,0,137946.376,1.14E-07,-7
Peru,PER,2015,0,135680.6685,1.14E-07,-7
Philippines,PHL,1992,0,387456.7845,1.14E-07,-7
Philippines,PHL,1993,0,390670.2968,1.14E-07,-7
Philippines,PHL,1995,0,399738.9781,1.14E-07,-7
Philippines,PHL,1996,0,402089.0919,1.14E-07,-7
Philippines,PHL,1997,0,411178.1892,1.14E-07,-7
Philippines,PHL,1998,0,419929.8601,1.14E-07,-7
Philippines,PHL,2000,0,447515.8476,1.14E-07,-7
Philippines,PHL,2001,0,463015.2204,1.14E-07,-7
Philippines,PHL,2004,0,500476.5573,1.14E-07,-7
Philippines,PHL,2005,0,516803.3449,1.14E-07,-7
Philippines,PHL,2006,0,533160.439,1.14E-07,-7
Philippines,PHL,2008,0,556294.4356,1.14E-07,-7
Philippines,PHL,2009,0,574978.0637,1.14E-07,-7
Philippines,PHL,2010,0,584423.6765,1.14E-07,-7
Philippines,PHL,2011,0,597432.7823,1.14E-07,-7
Philippines,PHL,2014,0,637192.9032,1.14E-07,-7
Philippines,PHL,2016,0,662220.9848,1.14E-07,-7
Poland,POL,1990,0,388628.1514,1.14E-07,-7
Poland,POL,1991,0,403196.1348,1.14E-07,-7
Poland,POL,1992,0,395949.6249,1.14E-07,-7
Poland,POL,1993,0,384909.8619,1.14E-07,-7
Poland,POL,1994,0,385401.7442,1.14E-07,-7
Poland,POL,1995,0,388217.0007,1.14E-07,-7
Poland,POL,1996,0,381612.9188,1.14E-07,-7
Poland,POL,1997,0,381562.1756,1.14E-07,-7
Poland,POL,1998,0,376563.8679,1.14E-07,-7
Poland,POL,1999,0,382003.6384,1.14E-07,-7
Poland,POL,2000,0,370315.8623,1.14E-07,-7
Poland,POL,2001,0,365528.0147,1.14E-07,-7
Poland,POL,2002,0,362578.2411,1.14E-07,-7
Poland,POL,2003,0,362931.1616,1.14E-07,-7
Poland,POL,2004,0,366126.7042,1.14E-07,-7
Poland,POL,2005,0,368277.0444,1.14E-07,-7
Poland,POL,2006,0,371691.2431,1.14E-07,-7
Poland,POL,2007,0,377172.5005,1.14E-07,-7
Poland,POL,2008,0,378982.0844,1.14E-07,-7
Poland,POL,2009,0,381184.3779,1.14E-07,-7
Poland,POL,2010,0,375095.3022,1.14E-07,-7
Poland,POL,2011,0,376822.62,1.14E-07,-7
Poland,POL,2012,0,384240.8102,1.14E-07,-7
Poland,POL,2013,0,384803.7437,1.14E-07,-7
Poland,POL,2014,0,380734.7618,1.14E-07,-7
Poland,POL,2015,0,392401.8085,1.14E-07,-7
Poland,POL,2017,0,394350.8712,1.14E-07,-7
Portugal,PRT,1990,0,101232.3392,1.14E-07,-7
Portugal,PRT,1991,0,103560.6144,1.14E-07,-7
Portugal,PRT,1992,0,102804.7658,1.14E-07,-7
Portugal,PRT,1993,0,104758.4564,1.14E-07,-7
Portugal,PRT,1994,0,100222.217,1.14E-07,-7
Portugal,PRT,1995,0,103101.8864,1.14E-07,-7
Portugal,PRT,1996,0,106016.3628,1.14E-07,-7
Portugal,PRT,1997,0,105824.8819,1.14E-07,-7
Portugal,PRT,1998,0,105784.0935,1.14E-07,-7
Portugal,PRT,1999,0,106171.3695,1.14E-07,-7
Portugal,PRT,2000,0,104853.3123,1.14E-07,-7
Portugal,PRT,2001,0,105223.7188,1.14E-07,-7
Portugal,PRT,2002,0,106285.7545,1.14E-07,-7
Portugal,PRT,2003,0,107214.1626,1.14E-07,-7
Portugal,PRT,2004,0,102534.1441,1.14E-07,-7
Portugal,PRT,2005,0,101282.106,1.14E-07,-7
Portugal,PRT,2006,0,101488.1891,1.14E-07,-7
Portugal,PRT,2007,0,103932.6277,1.14E-07,-7
Portugal,PRT,2008,0,104826.6734,1.14E-07,-7
Portugal,PRT,2009,0,105770.3893,1.14E-07,-7
Portugal,PRT,2010,0,105963.1575,1.14E-07,-7
Portugal,PRT,2011,0,105759.226,1.14E-07,-7
Portugal,PRT,2012,0,106835.6951,1.14E-07,-7
Portugal,PRT,2013,0,107019.1508,1.14E-07,-7
Portugal,PRT,2014,0,106951.0502,1.14E-07,-7
Portugal,PRT,2015,0,106788.4176,1.14E-07,-7
Portugal,PRT,2016,0,110566.5985,1.14E-07,-7
Portugal,PRT,2017,0,113754.2174,1.14E-07,-7
Romania,ROU,1992,0,261259.0787,1.14E-07,-7
Romania,ROU,1993,0,263397.8321,1.14E-07,-7
Romania,ROU,1994,0,265900.565,1.14E-07,-7
Romania,ROU,1995,0,273978.6825,1.14E-07,-7
Romania,ROU,1996,0,282782.146,1.14E-07,-7
Romania,ROU,1997,0,281439.692,1.14E-07,-7
Romania,ROU,1998,0,270186.3792,1.14E-07,-7
Romania,ROU,1999,0,260578.0255,1.14E-07,-7
Romania,ROU,2000,0,255505.1443,1.14E-07,-7
Romania,ROU,2001,0,261355.8644,1.14E-07,-7
Romania,ROU,2002,0,267595.7546,1.14E-07,-7
Romania,ROU,2003,0,266376.3682,1.14E-07,-7
Romania,ROU,2004,0,259166.4743,1.14E-07,-7
Romania,ROU,2005,0,260482.9792,1.14E-07,-7
Romania,ROU,2006,0,256278.5188,1.14E-07,-7
Romania,ROU,2007,0,251745.7885,1.14E-07,-7
Romania,ROU,2008,0,254857.0732,1.14E-07,-7
Romania,ROU,2009,0,258139.4315,1.14E-07,-7
Romania,ROU,2010,0,258978.113,1.14E-07,-7
Romania,ROU,2011,0,249520.7446,1.14E-07,-7
Romania,ROU,2012,0,252808.2714,1.14E-07,-7
Romania,ROU,2013,0,250914.4324,1.14E-07,-7
Romania,ROU,2014,0,255426.1031,1.14E-07,-7
Romania,ROU,2015,0,257285.8004,1.14E-07,-7
Romania,ROU,2016,0,258971.9704,1.14E-07,-7
Romania,ROU,2017,0,261100.9973,1.14E-07,-7
Rwanda,RWA,1990,0,112738.7038,1.14E-07,-7
Rwanda,RWA,1991,0,115336.8313,1.14E-07,-7
Rwanda,RWA,1992,0,120236.5233,1.14E-07,-7
Rwanda,RWA,1993,0,117551.9149,1.14E-07,-7
Rwanda,RWA,1994,0,606239.2003,1.14E-07,-7
Rwanda,RWA,1995,0,111566.4296,1.14E-07,-7
Rwanda,RWA,1996,0,116700.4495,1.14E-07,-7
Rwanda,RWA,1997,0,138861.8438,1.14E-07,-7
Rwanda,RWA,1998,0,137106.218,1.14E-07,-7
Rwanda,RWA,1999,0,130403.0294,1.14E-07,-7
Rwanda,RWA,2000,0,125333.7272,1.14E-07,-7
Rwanda,RWA,2001,0,117249.9944,1.14E-07,-7
Rwanda,RWA,2003,0,100991.845,1.14E-07,-7
Rwanda,RWA,2004,0,94376.66052,1.14E-07,-7
Rwanda,RWA,2005,0,88443.92723,1.14E-07,-7
Rwanda,RWA,2006,0,83396.99748,1.14E-07,-7
Rwanda,RWA,2007,0,79284.65039,1.14E-07,-7
Rwanda,RWA,2009,0,71911.21427,1.14E-07,-7
Rwanda,RWA,2010,0,69333.951,1.14E-07,-7
Rwanda,RWA,2011,0,67761.91116,1.14E-07,-7
Rwanda,RWA,2012,0,67283.4234,1.14E-07,-7
Rwanda,RWA,2013,0,66687.4986,1.14E-07,-7
Rwanda,RWA,2014,0,66719.51991,1.14E-07,-7
Rwanda,RWA,2017,0,68229.70446,1.14E-07,-7
Saint Lucia,LCA,1990,0,893.8863948,1.14E-07,-7
Saint Lucia,LCA,1991,0,896.6307506,1.14E-07,-7
Saint Lucia,LCA,1992,0,903.9998532,1.14E-07,-7
Saint Lucia,LCA,1993,0,899.6074242,1.14E-07,-7
Saint Lucia,LCA,1994,0,913.474029,1.14E-07,-7
Saint Lucia,LCA,1995,0,908.5294166,1.14E-07,-7
Saint Lucia,LCA,1996,0,911.634884,1.14E-07,-7
Saint Lucia,LCA,1997,0,914.7329887,1.14E-07,-7
Saint Lucia,LCA,1998,0,907.7709074,1.14E-07,-7
Saint Lucia,LCA,1999,0,901.8754486,1.14E-07,-7
Saint Lucia,LCA,2000,0,901.7576923,1.14E-07,-7
Saint Lucia,LCA,2001,0,908.8793017,1.14E-07,-7
Saint Lucia,LCA,2002,0,946.4047228,1.14E-07,-7
Saint Lucia,LCA,2003,0,981.1691744,1.14E-07,-7
Saint Lucia,LCA,2004,0,1003.954724,1.14E-07,-7
Saint Lucia,LCA,2005,0,1018.316458,1.14E-07,-7
Saint Lucia,LCA,2006,0,1032.890679,1.14E-07,-7
Saint Lucia,LCA,2007,0,1030.677121,1.14E-07,-7
Saint Lucia,LCA,2008,0,1024.917084,1.14E-07,-7
Saint Lucia,LCA,2009,0,1052.359985,1.14E-07,-7
Saint Lucia,LCA,2010,0,1083.240238,1.14E-07,-7
Saint Lucia,LCA,2011,0,1112.575262,1.14E-07,-7
Saint Lucia,LCA,2012,0,1145.305629,1.14E-07,-7
Saint Lucia,LCA,2013,0,1184.776999,1.14E-07,-7
Saint Lucia,LCA,2014,0,1217.823254,1.14E-07,-7
Saint Lucia,LCA,2015,0,1254.317191,1.14E-07,-7
Saint Lucia,LCA,2016,0,1290.40408,1.14E-07,-7
Saint Lucia,LCA,2017,0,1329.666575,1.14E-07,-7
Samoa,WSM,1990,0,776.5127942,1.14E-07,-7
Samoa,WSM,1991,0,789.232088,1.14E-07,-7
Samoa,WSM,1992,0,784.9415489,1.14E-07,-7
Samoa,WSM,1993,0,792.7915889,1.14E-07,-7
Samoa,WSM,1994,0,806.1355411,1.14E-07,-7
Samoa,WSM,1995,0,817.4701581,1.14E-07,-7
Samoa,WSM,1996,0,832.612486,1.14E-07,-7
Samoa,WSM,1997,0,837.750042,1.14E-07,-7
Samoa,WSM,1998,0,843.0416022,1.14E-07,-7
Samoa,WSM,1999,0,854.9530958,1.14E-07,-7
Samoa,WSM,2000,0,865.0338384,1.14E-07,-7
Samoa,WSM,2001,0,874.8065314,1.14E-07,-7
Samoa,WSM,2002,0,883.5692657,1.14E-07,-7
Samoa,WSM,2003,0,895.3418603,1.14E-07,-7
Samoa,WSM,2004,0,908.172539,1.14E-07,-7
Samoa,WSM,2005,0,927.8215931,1.14E-07,-7
Samoa,WSM,2006,0,936.01325,1.14E-07,-7
Samoa,WSM,2007,0,956.645373,1.14E-07,-7
Samoa,WSM,2008,0,968.1170106,1.14E-07,-7
Samoa,WSM,2010,0,1007.386715,1.14E-07,-7
Samoa,WSM,2011,0,1022.048815,1.14E-07,-7
Samoa,WSM,2012,0,1048.219765,1.14E-07,-7
Samoa,WSM,2013,0,1044.845818,1.14E-07,-7
Samoa,WSM,2014,0,1055.345023,1.14E-07,-7
Samoa,WSM,2015,0,1065.696447,1.14E-07,-7
Samoa,WSM,2016,0,1075.05184,1.14E-07,-7
Samoa,WSM,2017,0,1083.752019,1.14E-07,-7
Serbia,SRB,1990,0,96631.37047,1.14E-07,-7
Serbia,SRB,1991,0,91114.51293,1.14E-07,-7
Serbia,SRB,1992,0,96947.44076,1.14E-07,-7
Serbia,SRB,1993,0,99065.76596,1.14E-07,-7
Serbia,SRB,1994,0,101329.2407,1.14E-07,-7
Serbia,SRB,1995,0,103835.5857,1.14E-07,-7
Serbia,SRB,1996,0,105227.2998,1.14E-07,-7
Serbia,SRB,1997,0,107382.9084,1.14E-07,-7
Serbia,SRB,1999,0,112902.626,1.14E-07,-7
Serbia,SRB,2000,0,106547.9487,1.14E-07,-7
Serbia,SRB,2001,0,106721.5957,1.14E-07,-7
Serbia,SRB,2003,0,111827.9801,1.14E-07,-7
Serbia,SRB,2004,0,113392.8015,1.14E-07,-7
Serbia,SRB,2005,0,116661.5162,1.14E-07,-7
Serbia,SRB,2006,0,116778.5933,1.14E-07,-7
Serbia,SRB,2007,0,116065.9414,1.14E-07,-7
Serbia,SRB,2008,0,118206.0183,1.14E-07,-7
Serbia,SRB,2009,0,120332.3719,1.14E-07,-7
Serbia,SRB,2011,0,122989.9643,1.14E-07,-7
Serbia,SRB,2012,0,124576.1279,1.14E-07,-7
Serbia,SRB,2013,0,123309.4426,1.14E-07,-7
Serbia,SRB,2014,0,125057.455,1.14E-07,-7
Serbia,SRB,2015,0,126723.2493,1.14E-07,-7
Serbia,SRB,2016,0,124269.3234,1.14E-07,-7
Serbia,SRB,2017,0,123685.1018,1.14E-07,-7
Slovenia,SVN,1990,0,18262.82397,1.14E-07,-7
Slovenia,SVN,1991,0,18956.17049,1.14E-07,-7
Slovenia,SVN,1992,0,19050.45836,1.14E-07,-7
Slovenia,SVN,1993,0,19665.18103,1.14E-07,-7
Slovenia,SVN,1994,0,19303.50501,1.14E-07,-7
Slovenia,SVN,1995,0,18665.43297,1.14E-07,-7
Slovenia,SVN,1996,0,18581.35569,1.14E-07,-7
Slovenia,SVN,1997,0,18744.43038,1.14E-07,-7
Slovenia,SVN,1998,0,18951.95973,1.14E-07,-7
Slovenia,SVN,1999,0,18890.92584,1.14E-07,-7
Slovenia,SVN,2000,0,18572.15507,1.14E-07,-7
Slovenia,SVN,2001,0,18674.34948,1.14E-07,-7
Slovenia,SVN,2002,0,18650.45835,1.14E-07,-7
Slovenia,SVN,2003,0,19146.72658,1.14E-07,-7
Slovenia,SVN,2005,0,18310.27056,1.14E-07,-7
Slovenia,SVN,2006,0,18324.39237,1.14E-07,-7
Slovenia,SVN,2007,0,18484.5911,1.14E-07,-7
Slovenia,SVN,2008,0,18486.72138,1.14E-07,-7
Slovenia,SVN,2009,0,18488.68856,1.14E-07,-7
Slovenia,SVN,2010,0,18514.48589,1.14E-07,-7
Slovenia,SVN,2011,0,18506.69613,1.14E-07,-7
Slovenia,SVN,2012,0,19019.65732,1.14E-07,-7
Slovenia,SVN,2013,0,19175.68275,1.14E-07,-7
Slovenia,SVN,2014,0,18597.46889,1.14E-07,-7
Slovenia,SVN,2015,0,19294.25515,1.14E-07,-7
Slovenia,SVN,2016,0,19442.38667,1.14E-07,-7
Slovenia,SVN,2017,0,19903.95618,1.14E-07,-7
Solomon Islands,SLB,1990,0,2544.156968,1.14E-07,-7
Solomon Islands,SLB,1991,0,2639.068053,1.14E-07,-7
Solomon Islands,SLB,1992,0,2659.040205,1.14E-07,-7
Solomon Islands,SLB,1993,0,2711.839714,1.14E-07,-7
Solomon Islands,SLB,1994,0,2755.232005,1.14E-07,-7
Solomon Islands,SLB,1995,0,2796.410876,1.14E-07,-7
Solomon Islands,SLB,1996,0,2846.139012,1.14E-07,-7
Solomon Islands,SLB,1997,0,2903.036194,1.14E-07,-7
Solomon Islands,SLB,1998,0,2963.889208,1.14E-07,-7
Solomon Islands,SLB,1999,0,3043.601106,1.14E-07,-7
Solomon Islands,SLB,2000,0,3139.174498,1.14E-07,-7
Solomon Islands,SLB,2001,0,3200.104878,1.14E-07,-7
Solomon Islands,SLB,2002,0,3292.959301,1.14E-07,-7
Solomon Islands,SLB,2003,0,3379.072542,1.14E-07,-7
Solomon Islands,SLB,2004,0,3462.559033,1.14E-07,-7
Solomon Islands,SLB,2005,0,3535.579238,1.14E-07,-7
Solomon Islands,SLB,2006,0,3595.232244,1.14E-07,-7
Solomon Islands,SLB,2008,0,3690.002349,1.14E-07,-7
Solomon Islands,SLB,2009,0,3762.636511,1.14E-07,-7
Solomon Islands,SLB,2010,0,3787.213366,1.14E-07,-7
Solomon Islands,SLB,2011,0,3816.183231,1.14E-07,-7
Solomon Islands,SLB,2012,0,3854.688146,1.14E-07,-7
Solomon Islands,SLB,2014,0,4003.006915,1.14E-07,-7
Solomon Islands,SLB,2015,0,4016.860232,1.14E-07,-7
Solomon Islands,SLB,2017,0,4131.793572,1.14E-07,-7
South Africa,ZAF,1991,0,283735.8569,1.14E-07,-7
South Africa,ZAF,1992,0,295705.2257,1.14E-07,-7
South Africa,ZAF,1993,0,297090.7525,1.14E-07,-7
South Africa,ZAF,1994,0,315469.0719,1.14E-07,-7
South Africa,ZAF,1995,0,329908.0278,1.14E-07,-7
South Africa,ZAF,1996,0,369744.4914,1.14E-07,-7
South Africa,ZAF,1998,0,461296.8491,1.14E-07,-7
South Africa,ZAF,1999,0,504682.0275,1.14E-07,-7
South Africa,ZAF,2000,0,567546.0968,1.14E-07,-7
South Africa,ZAF,2001,0,597211.6073,1.14E-07,-7
South Africa,ZAF,2002,0,640688.2673,1.14E-07,-7
South Africa,ZAF,2003,0,681513.4833,1.14E-07,-7
South Africa,ZAF,2004,0,711444.3386,1.14E-07,-7
South Africa,ZAF,2006,0,749717.2019,1.14E-07,-7
South Africa,ZAF,2007,0,746324.6155,1.14E-07,-7
South Africa,ZAF,2008,0,735246.25,1.14E-07,-7
South Africa,ZAF,2010,0,675540.9732,1.14E-07,-7
South Africa,ZAF,2011,0,633305.0808,1.14E-07,-7
South Africa,ZAF,2012,0,598072.9464,1.14E-07,-7
South Africa,ZAF,2013,0,564048.2928,1.14E-07,-7
South Africa,ZAF,2015,0,526744.5736,1.14E-07,-7
South Africa,ZAF,2016,0,513395.2728,1.14E-07,-7
South Africa,ZAF,2017,0,475367.458,1.14E-07,-7
South Korea,KOR,1990,0,237313.4317,1.14E-07,-7
South Korea,KOR,1991,0,239425.511,1.14E-07,-7
South Korea,KOR,1992,0,235325.3624,1.14E-07,-7
South Korea,KOR,1993,0,235747.9813,1.14E-07,-7
South Korea,KOR,1994,0,239716.5146,1.14E-07,-7
South Korea,KOR,1995,0,238684.8608,1.14E-07,-7
South Korea,KOR,1996,0,237541.6794,1.14E-07,-7
South Korea,KOR,1997,0,238701.8939,1.14E-07,-7
South Korea,KOR,1998,0,241521.0652,1.14E-07,-7
South Korea,KOR,1999,0,243555.1076,1.14E-07,-7
South Korea,KOR,2000,0,244491.4286,1.14E-07,-7
South Korea,KOR,2001,0,241756.1138,1.14E-07,-7
South Korea,KOR,2002,0,242587.584,1.14E-07,-7
South Korea,KOR,2003,0,243850.935,1.14E-07,-7
South Korea,KOR,2004,0,242694.7774,1.14E-07,-7
South Korea,KOR,2005,0,241711.6252,1.14E-07,-7
South Korea,KOR,2006,0,240885.3569,1.14E-07,-7
South Korea,KOR,2007,0,243297.1083,1.14E-07,-7
South Korea,KOR,2008,0,245755.0008,1.14E-07,-7
South Korea,KOR,2009,0,249551.859,1.14E-07,-7
South Korea,KOR,2010,0,256111.4733,1.14E-07,-7
South Korea,KOR,2011,0,262328.2676,1.14E-07,-7
South Korea,KOR,2012,0,268951.5665,1.14E-07,-7
South Korea,KOR,2013,0,270602.5602,1.14E-07,-7
South Korea,KOR,2014,0,273267.5065,1.14E-07,-7
South Korea,KOR,2015,0,279788.2047,1.14E-07,-7
South Korea,KOR,2017,0,299614.9481,1.14E-07,-7
Spain,ESP,1990,0,331609.6751,1.14E-07,-7
Spain,ESP,1991,0,337117.5056,1.14E-07,-7
Spain,ESP,1992,0,334498.8549,1.14E-07,-7
Spain,ESP,1993,0,337375.7974,1.14E-07,-7
Spain,ESP,1994,0,340891.5108,1.14E-07,-7
Spain,ESP,1995,0,348089.6794,1.14E-07,-7
Spain,ESP,1996,0,353749.6358,1.14E-07,-7
Spain,ESP,1997,0,351013.5129,1.14E-07,-7
Spain,ESP,1998,0,359210.9296,1.14E-07,-7
Spain,ESP,1999,0,370223.2749,1.14E-07,-7
Spain,ESP,2000,0,363166.0977,1.14E-07,-7
Spain,ESP,2001,0,365744.837,1.14E-07,-7
Spain,ESP,2002,0,372196.2333,1.14E-07,-7
Spain,ESP,2003,0,387760.6824,1.14E-07,-7
Spain,ESP,2004,0,380097.4978,1.14E-07,-7
Spain,ESP,2005,0,383110.5317,1.14E-07,-7
Spain,ESP,2006,0,380131.0597,1.14E-07,-7
Spain,ESP,2007,0,386488.966,1.14E-07,-7
Spain,ESP,2008,0,389890.7682,1.14E-07,-7
Spain,ESP,2009,0,386925.8673,1.14E-07,-7
Spain,ESP,2010,0,385765.6126,1.14E-07,-7
Spain,ESP,2012,0,397794.3143,1.14E-07,-7
Spain,ESP,2013,0,396432.469,1.14E-07,-7
Spain,ESP,2014,0,401847.1449,1.14E-07,-7
Spain,ESP,2015,0,416546.8431,1.14E-07,-7
Spain,ESP,2016,0,414293.3379,1.14E-07,-7
Spain,ESP,2017,0,416519.7247,1.14E-07,-7
Sudan,SDN,1991,0,240633.5752,1.14E-07,-7
Sudan,SDN,1992,0,242414.1531,1.14E-07,-7
Sudan,SDN,1994,0,240403.5915,1.14E-07,-7
Sudan,SDN,1995,0,240496.802,1.14E-07,-7
Sudan,SDN,1996,0,240415.7399,1.14E-07,-7
Sudan,SDN,1997,0,242904.4225,1.14E-07,-7
Sudan,SDN,1998,0,243184.798,1.14E-07,-7
Sudan,SDN,1999,0,240230.1477,1.14E-07,-7
Sudan,SDN,2000,0,238631.3582,1.14E-07,-7
Sudan,SDN,2001,0,237978.4379,1.14E-07,-7
Sudan,SDN,2002,0,240264.1054,1.14E-07,-7
Sudan,SDN,2003,0,240473.9581,1.14E-07,-7
Sudan,SDN,2004,0,243728.9661,1.14E-07,-7
Sudan,SDN,2005,0,230906.0661,1.14E-07,-7
Sudan,SDN,2006,0,229923.1579,1.14E-07,-7
Sudan,SDN,2007,0,228508.6882,1.14E-07,-7
Sudan,SDN,2008,0,226780.6913,1.14E-07,-7
Sudan,SDN,2009,0,226524.1965,1.14E-07,-7
Sudan,SDN,2010,0,224236.5781,1.14E-07,-7
Sudan,SDN,2011,0,222282.55,1.14E-07,-7
Sudan,SDN,2012,0,219179.8575,1.14E-07,-7
Sudan,SDN,2013,0,217506.785,1.14E-07,-7
Sudan,SDN,2014,0,215108.9545,1.14E-07,-7
Sudan,SDN,2015,0,210950.9023,1.14E-07,-7
Sudan,SDN,2016,0,211481.9145,1.14E-07,-7
Sudan,SDN,2017,0,209005.5058,1.14E-07,-7
Switzerland,CHE,1990,0,62571.35933,1.14E-07,-7
Switzerland,CHE,1991,0,63129.18476,1.14E-07,-7
Switzerland,CHE,1992,0,62537.03138,1.14E-07,-7
Switzerland,CHE,1993,0,62129.64231,1.14E-07,-7
Switzerland,CHE,1994,0,62562.03788,1.14E-07,-7
Switzerland,CHE,1995,0,63639.358,1.14E-07,-7
Switzerland,CHE,1996,0,62179.46996,1.14E-07,-7
Switzerland,CHE,1997,0,62928.89087,1.14E-07,-7
Switzerland,CHE,1998,0,62633.75517,1.14E-07,-7
Switzerland,CHE,1999,0,61974.94562,1.14E-07,-7
Switzerland,CHE,2000,0,62729.12593,1.14E-07,-7
Switzerland,CHE,2001,0,61703.63326,1.14E-07,-7
Switzerland,CHE,2002,0,62124.70367,1.14E-07,-7
Switzerland,CHE,2003,0,62462.1805,1.14E-07,-7
Switzerland,CHE,2004,0,60920.75701,1.14E-07,-7
Switzerland,CHE,2005,0,60750.86191,1.14E-07,-7
Switzerland,CHE,2006,0,61075.76206,1.14E-07,-7
Switzerland,CHE,2007,0,61225.94047,1.14E-07,-7
Switzerland,CHE,2008,0,61056.6711,1.14E-07,-7
Switzerland,CHE,2009,0,62146.50881,1.14E-07,-7
Switzerland,CHE,2010,0,62294.30992,1.14E-07,-7
Switzerland,CHE,2011,0,61824.08434,1.14E-07,-7
Switzerland,CHE,2012,0,62872.08355,1.14E-07,-7
Switzerland,CHE,2013,0,63434.30231,1.14E-07,-7
Switzerland,CHE,2014,0,63111.97005,1.14E-07,-7
Switzerland,CHE,2015,0,64300.73893,1.14E-07,-7
Switzerland,CHE,2016,0,64301.47672,1.14E-07,-7
Switzerland,CHE,2017,0,64565.07365,1.14E-07,-7
Syria,SYR,1990,0,63325.98251,1.14E-07,-7
Syria,SYR,1991,0,64108.0785,1.14E-07,-7
Syria,SYR,1992,0,65027.37719,1.14E-07,-7
Syria,SYR,1993,0,63949.06811,1.14E-07,-7
Syria,SYR,1994,0,64128.29167,1.14E-07,-7
Syria,SYR,1995,0,63961.94274,1.14E-07,-7
Syria,SYR,1996,0,63664.98933,1.14E-07,-7
Syria,SYR,1997,0,63815.43108,1.14E-07,-7
Syria,SYR,1998,0,63718.82742,1.14E-07,-7
Syria,SYR,1999,0,62720.69061,1.14E-07,-7
Syria,SYR,2000,0,61008.07534,1.14E-07,-7
Syria,SYR,2001,0,59443.48813,1.14E-07,-7
Syria,SYR,2002,0,59544.92678,1.14E-07,-7
Syria,SYR,2003,0,56869.01144,1.14E-07,-7
Syria,SYR,2004,0,57718.27354,1.14E-07,-7
Syria,SYR,2005,0,58672.68581,1.14E-07,-7
Syria,SYR,2006,0,60507.30929,1.14E-07,-7
Syria,SYR,2007,0,61803.12611,1.14E-07,-7
Syria,SYR,2008,0,64282.71706,1.14E-07,-7
Syria,SYR,2009,0,64897.23421,1.14E-07,-7
Syria,SYR,2010,0,66079.95981,1.14E-07,-7
Syria,SYR,2011,0,78556.22625,1.14E-07,-7
Syria,SYR,2012,0,128475.4964,1.14E-07,-7
Syria,SYR,2013,0,118761.0175,1.14E-07,-7
Syria,SYR,2014,0,143371.8395,1.14E-07,-7
